"V1","V2"
"Danish",3
"Dutch",6
"French",433
"Ga",1
"German",25
"Germanic",7
"Gothic",2
"Greek",66
"Indic",1
"Italian",16
"Japanese",2
"Latin",538
"Mende",2
"Middle Dutch",2
"Middle English",91
"Old English",96
"Old French",319
"Old Norse",6
"Russian",16
"Yiddish",2
